mcu,filename,n_samples,n_windows,ambient_temperature,actual_soh,predicted_soh,std_soh,error,abs_pct_error,temp_label,soh_band
mcu7,mcu7/2025-02-23_18.16.06 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3337,1,25.004579544067383,0.9069639214409723,0.9099113345146179,0.0,0.002947413073645655,0.32497577951754064,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-23_22.43.26 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3331,1,25.001632690429688,0.9052813585069445,0.9087005853652954,0.0,0.0034192268583509433,0.377697698756349,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-24_03.09.02 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3326,1,24.995981216430664,0.9038819444444445,0.9075189232826233,0.0,0.003636978838178817,0.40237321483550864,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-24_07.35.26 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3323,1,25.003582000732422,0.9030885959201389,0.9065876603126526,0.0,0.0034990643925136844,0.38745527385921175,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-24_16.51.28 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3345,1,25.012432098388672,0.9089852430555555,0.9100888967514038,0.0,0.0011036536958483056,0.12141601904761092,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-24_21.21.45 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3322,1,24.99295425415039,0.9029104817708333,0.9066092371940613,0.0,0.0036987554232279507,0.4096480767366623,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-25_01.51.39 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3317,1,24.98836898803711,0.9013765190972223,0.9049785137176514,0.0,0.0036019946204290942,0.3996104340544269,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-25_06.23.25 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3313,1,25.009933471679688,0.9003803168402778,0.9038320183753967,0.0,0.0034517015351189784,0.38336039455328186,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-25_10.54.53 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3307,1,24.97829818725586,0.8988113064236111,0.9022680521011353,0.0,0.0034567456775241867,0.3845908093077567,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-25_15.25.18 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3301,1,25.000328063964844,0.8970564236111112,0.9007286429405212,0.0,0.003672219329410087,0.4093632499310941,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-25_19.55.24 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3295,1,24.990049362182617,0.8954106987847222,0.8992623686790466,0.0,0.0038516698943243943,0.4301567872208802,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-26_00.26.01 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3290,1,25.00547218322754,0.8940018446180555,0.8978869915008545,0.0,0.003885146882798951,0.43457929155155184,reference (23-27C),SoH > 85%
